postID,theDate,thread,hasword,prompt,wordz
79933,1409693918,1,0,Fall: Week 1,
80934,1409889230,2,0,Fall: Week 1,
81172,1409971456,3,0,Fall: Week 1,
81333,1410047209,4,0,Fall: Week 1,
81335,1410047355,1,0,Fall: Week 1,
81344,1410055755,3,0,Fall: Week 1,
81403,1410103254,3,0,Fall: Week 1,
81404,1410103526,4,0,Fall: Week 1,
81633,1410128867,5,0,Fall: Week 1,
81637,1410129381,3,0,Fall: Week 1,
81652,1410131866,6,0,Fall: Week 1,
81796,1410143618,7,0,Fall: Week 1,
82236,1410219305,6,0,Fall: Week 1,
82246,1410219745,3,0,Fall: Week 1,
82336,1410224056,8,0,Fall: Week 1,
82341,1410224213,1,0,Fall: Week 1,
82345,1410224451,5,0,Fall: Week 1,
82688,1410294760,9,0,Fall: Week 1,
82782,1410304756,10,0,Fall: Week 1,
82901,1410357341,11,0,Fall: Week 1,
83131,1410381156,12,0,Fall: Week 1,
83752,1410484024,13,0,Fall: Week 1,
84190,1410632333,14,0,Fall: Week 1,
82776,1410304384,1,0,Fall: Week 2,
82831,1410310067,2,0,Fall: Week 2,
82832,1410310294,1,1,Fall: Week 2,...this particular example is how inertia factors into things. The car...
83618,1410469605,3,0,Fall: Week 2,
83619,1410470160,2,0,Fall: Week 2,
83758,1410485332,4,1,Fall: Week 2,...mind was the theory of inertia which states an object in...
84152,1410567009,5,0,Fall: Week 2,
84153,1410568374,6,0,Fall: Week 2,
84154,1410568561,4,0,Fall: Week 2,
84155,1410568813,5,0,Fall: Week 2,
84176,1410622510,5,0,Fall: Week 2,
84197,1410635546,7,0,Fall: Week 2,
84202,1410636775,5,1,Fall: Week 2,
84290,1410695223,8,0,Fall: Week 2,
84291,1410695223,9,0,Fall: Week 2,
84292,1410695223,10,0,Fall: Week 2,
84293,1410696335,11,0,Fall: Week 2,
84306,1410703746,12,0,Fall: Week 2,
84326,1410714913,4,0,Fall: Week 2,
84394,1410732560,1,1,Fall: Week 2,...inertia is definitely a good point...
84395,1410732941,5,0,Fall: Week 2,
84400,1410733520,13,0,Fall: Week 2,
84411,1410734692,1,0,Fall: Week 2,
84430,1410738852,14,0,Fall: Week 2,
84446,1410741554,15,0,Fall: Week 2,
84465,1410743567,15,0,Fall: Week 2,
84473,1410744711,16,0,Fall: Week 2,
84484,1410746594,17,0,Fall: Week 2,
84491,1410747965,8,0,Fall: Week 2,
84493,1410748513,11,0,Fall: Week 2,
84494,1410749073,12,0,Fall: Week 2,
84497,1410750005,17,0,Fall: Week 2,
84527,1410753787,7,0,Fall: Week 2,
85439,1410911458,12,0,Fall: Week 2,
86617,1411260867,11,0,Fall: Week 2,
86460,1411134062,1,0,Fall: Week 3,
86547,1411178792,2,1,Fall: Week 3,...heavier stuff with its larger inertia but also states tries to...
86574,1411222745,3,1,Fall: Week 3,...surface of the roof. While inertia and the higher density of...
86575,1411222813,4,0,Fall: Week 3,
86581,1411224574,3,0,Fall: Week 3,
86589,1411233366,5,0,Fall: Week 3,
86597,1411239492,6,1,Fall: Week 3,...heavier stuff with its larger inertia moves further ahead than the...
86598,1411239821,5,0,Fall: Week 3,
86599,1411240157,3,0,Fall: Week 3,
86603,1411245282,7,0,Fall: Week 3,
86622,1411266958,8,0,Fall: Week 3,
86636,1411303320,9,0,Fall: Week 3,
86638,1411306718,3,0,Fall: Week 3,
86639,1411306793,3,0,Fall: Week 3,
86643,1411310583,10,0,Fall: Week 3,
86644,1411310602,10,0,Fall: Week 3,
86648,1411313885,11,0,Fall: Week 3,
86687,1411325355,12,1,Fall: Week 3,...surface of the roof. While inertia and the higher density of...
86694,1411331914,5,0,Fall: Week 3,
86742,1411347893,13,0,Fall: Week 3,
86743,1411348135,13,0,Fall: Week 3,
86744,1411348167,14,0,Fall: Week 3,
86796,1411369488,15,1,Fall: Week 3,...reactionary force to the passengers inertia pushing back on the seats...
86797,1411373685,16,0,Fall: Week 3,
86798,1411374381,3,0,Fall: Week 3,
86799,1411375306,5,0,Fall: Week 3,
86800,1411375398,3,0,Fall: Week 3,
86801,1411378240,3,0,Fall: Week 3,
86895,1411398518,7,0,Fall: Week 3,
86905,1411403544,17,0,Fall: Week 3,
86977,1411417751,1,0,Fall: Week 3,
86980,1411418416,7,0,Fall: Week 3,
86981,1411418723,5,0,Fall: Week 3,
86994,1411431794,2,0,Fall: Week 3,
86998,1411432663,14,0,Fall: Week 3,
87078,1411484479,18,0,Fall: Week 3,
87116,1411497780,1,0,Fall: Week 3,
87123,1411497997,3,0,Fall: Week 3,
87131,1411498408,2,0,Fall: Week 3,
87138,1411499627,1,0,Fall: Week 3,
87139,1411499666,5,0,Fall: Week 3,
87140,1411499682,10,0,Fall: Week 3,
87141,1411499705,14,0,Fall: Week 3,
87142,1411499765,17,0,Fall: Week 3,
87143,1411499795,8,0,Fall: Week 3,
