postID,theDate,thread,prompt,post,userID
102569,1421254240,1,Week 1,"Here is a video clip from the experiment - I used the same water - divided in half from the tap, 1/2 cup in each glass, 1/4 cup of salt (wicked salty) in one (FYI - the water level rose), ice cubes of the same size.  My daughter was just as surprised with the result as I was.
",1
102610,1421270613,2,Week 1,"I mentioned that the salt lowered the melting and boiling points of water. What this means is the water would take longer to freeze due to its lowered melting point lower than 0 Celsius. It must also mean that salt water has more energy thus transferring its energy to the ice causing it to melt faster than ice in clean water free of salt.

I watched Donnas video and I could only see it sideways, not vertical. I did notice that the ice seemed to melt faster in salt water. It was difficult to follow.
",2
102611,1421270772,1,Week 1,"Thank you for the video. I had difficulty watching though. I saw it horizontal not vertical. There was also no sound. I think I have to adjust my new computer. My problem. I do want to know, did you measure the temperature of both glasses of water before you started? I have yet to experiment with this.  Stay tuned.
",2
102620,1421273261,2,Week 1,"I thought some more about this. I do know that if you add salt  to water when you boil pasta, the water will boil sooner. So this leads me to believe that salt must add energy to the water and that is why it will cause the ice to melt faster. What are your thoughts?
",2
102631,1421280359,1,Week 1,"Hi Deanna, I didnt measure the temp of the water, it was from the tap - I filled a measuring cup to 2 cups and divided it into the two glasses.  I figured they were both the same temp.  I wasnt being very scientific in terms of setting it up and knowing all the variables, I just did what I thought would be equal in terms of temp, volume, etc.  Sorry about the video, it was on my iPhone and downloaded ok and when I click on it its right side up.  I was really close to the glasses.  The glass without the water caused the ice to melt faster, though, not the reverse.

One thing the end of the table where I sat was talking about was that salt lowers the freezing point of water - at least thats what we thought as when salt is put on a roads surface, it stops the water on the road from freezing at 32 degrees and allows the temp to be lower before it will freeze.  Some of us also talked about how the ice will melt when salt is thrown on it, so we thought maybe a reaction creating heat was occurring.  
",1
102639,1421282379,1,Week 1,"Remember why we put salt into pasta water? I put it in not just for flavor but to have the water boil sooner. Not sure how much time I really save but it must be related to energy. Just a thought.

Like your experiment though. Fun. Cant wait until I can experiment. Ive been in computer lab with my students. They are working on research for projects. Thursday/tomorrow might be a good day  to explore.
",2
102649,1421282829,3,Week 1,"Following is a Powerpoint with pictures showing my experiment.  I was totally suprised by the outcome.  Each glass had 1 cup of water, and I added 1/4 cup of salt (very salty) in one glass.

Some things I noticed:

The volume of the salt water increased by 1/2  once the salt was added.
	The ice cube in the salt water was more exposed to the outside air than the freshwater ice cube.  That is, it floated higher above the waters surface.
	The salt in the water began to settle at the bottom of the glass after 15 minutes.
	After 19 minutes, condensation began to accumulate on the outside of the salt water glass.  
	The ice in the fresh water glass melted in 30 minutes.
	The ice in the salt water glass melted in 60 minutes. 
 
",3
103094,1421507210,3,Week 1,"Wow. I didnt expect a difference in time of 30 minutes. That is eye opening. Now Im trying to wrap my head around this. It makes sense. So maybe the answer is more energy in salt water? Thanks.

Dee
",2
103105,1421601328,4,Week 1,"I conducted a simple experiment on Tuesday after our course and was very surprised by the outcome. Ive been chewing on possible explanations since then and have hit a bit of a roadblock. Im eager to read peoples ideas this week to get the ball rolling!
",4
103110,1421623511,3,Week 1,"nice job!  I still cant quite wrap my head around it - we were saying the salt melted the sidewalk ice, so how does this happen?  what is happening here?  I dont get it!!
",1
