postID,theDate,thread,hasword,prompt,wordz,post
79933,1409693918,1,1,Fall: Week 1,...is less and less air pressure pushing inwards on the balloon...,"I dont think balloons go up forever.  As the balloon rises the air becomes less and less dense.  This will cause the balloon to rise at a slower and slower rate until the balloon reaches an equal air density between inside and outside the balloon.  But there is another factor Im not sure about.  Although the helium balloon is a lot less dense than regular air at the surface because of the tiny helium molecules inside the balloon verses that of regular air, there are still a lot of molecules inside that are actively moving about and taking up as much space as the balloon allows.  Well....as the balloon rises there is less and less air pressure pushing inwards on the balloon causing the relatively high number of helium atoms per unit volume inside the balloon.  Will the reduced pressure outside of the balloon cause the heliums pressure inside the balloon to cause it to expand until it pops?
"
80934,1409889230,2,0,Fall: Week 1,,"I thought that the answer was not as simple as I originally thought.  After spending a lot of time practicing in our large group discussions, The more we talked as a class the deeper the ideas went. I was much more at ease with the feeling of restless thought. We got to experience what our students experience quite often. As the school year began, My students take a pretest which covers all of the material that they will learn this year. I have already had students come to me with questions that they are perplexed by. My reaction is much different and now I let them just tell me their thoughts. I know that before I would definitely push them in a particular direction to the correct response, but now I think it is okay for them to be where they are at. We will talk more about these ideas during the school year and letting them rest where they are is okay for now.
"
81172,1409971456,3,0,Fall: Week 1,,"I will take charge of this experiment.  In the mean time I think I can prove it with words:

We agree that a full helium balloon and string will be buoyant in air because the equivalent volume of air surrounding the total balloon (string and all).  Incrementally, the balloon looses buoyancy as gas leaks out and eventually becomes negatively buoyant and sinks until some part hits the floor.    Since this has been an incremental change, and it has only just begun to sink, the negative buoyancy is very slight.   Once the string hits the floor we can subtract the mass of the portion of string that is resting on the floor from the mass of the rest of the balloon system and thus changing the density to a lower value.  Since the balloon was only very slightly negatively buoyant, the new value is slightly positive and the balloon will rise again until the difference in string mass brings the balloon to the neutral buoyancy and it comes to a stop.    

If one was to cut the string at any point above the floor the balloon will once again rise.  If one was to just pick the string up and coil it together above the floor, then the balloon would continue to sink until some part of it once again hit the floor because it is still negatively buoyant.   

If you read this whole thing and follow it, then you need to find something more important to to with your time !   :)   
"
81333,1410047209,4,0,Fall: Week 1,,"Why wouldnt the balloon keep going up forever?  Based on our groups previous conclusions, I would respond that gravity would continue to pull down on the materials with the greatest mass/density.  Those materials with the greatest mas/densiity  will continue to be closest to the center of gravit,y while those items with less mass/density will be displaced higher and further away from the center of gravity.  At some poin,t the balloon will stop rising becuase all of the material with greater mass/density will have moved below it and stop pushing it up.  It will have settled  at the level where it ranks in its own mass/density compared with the other materials in the atmosphere.  Materials with less mass/density will continue to be displaced higher and farther from the center of gravity and the materials with more mass/density have now all been pulled closer to the center of gravity and displaced the balloon as high as it will go.  If any of these materials have a change in their mass/density over time, gravitys pull will continue to place the items in their rank order of most dense down low and least dense up high (since our main center of gravity is the Earths core). 
"
81335,1410047355,1,1,Fall: Week 1,...I never even thought about pressure or how it would interact...,"Thats an awsome question!  I never even thought about pressure or how it would interact with our senerio.  I think you make a great point.  I also think you may be right, released balloons always pop at some point.  Your idea seems to make sense to me.
"
81344,1410055755,3,0,Fall: Week 1,,"O.K. so now I am really questioning my sanity as I just spent way too much time playing with a party balloon.  

Here is the investigation-  I edited out the large pauses so it may appear to jump.&lt;iframe frameborder=0 height=180 src=//www.youtube.com/embed/GHeZ0UqdVAM?rel=0 width=320&gt;&lt;/iframe&gt;
"
81403,1410103254,3,0,Fall: Week 1,,"That was fantastic Paul!  excellent demonstration.  You brought up several great ideas about controls and variables.  I wonder how those other variables affect weather balloons (static electricity and air currents) and if and how meteorologists can possible account for those variables.  There is a lot of static electricity in clouds (like your visiting thunderstorm) and the jet stream to deal with.
"
81404,1410103526,4,0,Fall: Week 1,,"I like the idea of assigning ranks much like a density column you can make in a kitchen or classroom.  Is there a top rank or is there even a top  There is no sign at the top of the atmosphere that says welcome to space :)  So my questions are...Is there a top where a closed system like a weather balloon will stop? to which I think yes because there is more than just helium in the balloon system, and secondly Is there a top to the atmosphere that just helium would be at or is it low enough in density and far enough away from the earths core that it can just float away?
"
81633,1410128867,5,0,Fall: Week 1,,"I dont know if the string is actually helping the balloon up.  I have some helium balloons from my graduation (back in may) that are  attached by string, and some of the balloons are flat and are on the floor, and one is still inflated and floating.  I am going to cut the string of the balloon that is floating and get back to this forum. I have an additional question:  Since all of the balloons were purchased and inflated at the same time, why did the balloons of the same size deflate at different times?  I am really curious about this.  They are made of the same materials and have been in the same conditions.
"
81637,1410129381,3,0,Fall: Week 1,,"Paul,

 like your train of thought.  Maybe I do need to find something better to do with my time, but it never occurred to me to subtract the mass of the string that is on the floor from the total mass of the balloon in the air.  So I just cut the string and the balloon did float.  I just didnt realize the small amount of mass from the string would make that much of a differernce.   I am going to continue to watch the balloons and monitor the buoyancy.  
"
81652,1410131866,6,0,Fall: Week 1,,"The balloon starts to go up at a low altitude because the air above it is heavier and wants to be pulled towards the earth. Air is in layers, the heavier air is lower and lighter air higher.  The balloon  doesnt go up forever because it reaches a point where the air outside the balloon is lighter than the helium and therefore the air doesnt pull towards earth anymore than the helium.
"
81796,1410143618,7,0,Fall: Week 1,,"Without doing this experiment I would think that the balloon would not go very far after the string is cut. If I remember correctly I have had many balloons in my house after a birthday party with strings on them. I dont remember them rising with or without string attached after a few days. I just remember them ending up on the floor after awhile. It would be interesting to actually conduct this experiment to see what would transpire after a few days. I am also wondering if there is a difference in the helium or amount used. I recall sometimes if I got the balloons from a different source they would not stay up as long. Just a thought.
"
82236,1410219305,6,0,Fall: Week 1,,"I completely agree.  And, to tie into what Greg mentioned I believe that at that point the balloon would be significantly larger in volume.   
"
